acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,target,tempo,time_signature,track_href,type,uri,valence
0.0323,https://api.spotify.com/v1/audio-analysis/1QztfhpEDJytsDQmoC0P5K,0.772,218993,0.77,1QztfhpEDJytsDQmoC0P5K,0.00484,6,0.0625,-3.287,0,0.107,1,125.035,4,https://api.spotify.com/v1/tracks/1QztfhpEDJytsDQmoC0P5K,audio_features,spotify:track:1QztfhpEDJytsDQmoC0P5K,0.312
0.00117,https://api.spotify.com/v1/audio-analysis/1WAdtGM6K6v0WOUVh5aYdW,0.799,262066,0.886,1WAdtGM6K6v0WOUVh5aYdW,0.92,2,0.067,-3.999,1,0.0553,1,125.991,4,https://api.spotify.com/v1/tracks/1WAdtGM6K6v0WOUVh5aYdW,audio_features,spotify:track:1WAdtGM6K6v0WOUVh5aYdW,0.417
0.00702,https://api.spotify.com/v1/audio-analysis/1U3nHai9ueJCuEXbf8TvBA,0.795,193433,0.836,1U3nHai9ueJCuEXbf8TvBA,0.546,7,0.319,-5.412,0,0.0486,1,133.995,4,https://api.spotify.com/v1/tracks/1U3nHai9ueJCuEXbf8TvBA,audio_features,spotify:track:1U3nHai9ueJCuEXbf8TvBA,0.736
0.153,https://api.spotify.com/v1/audio-analysis/0G7qbWOi2Wq7vbw8GeMsMr,0.72,230559,0.878,0G7qbWOi2Wq7vbw8GeMsMr,0.000239,7,0.105,-6.454,0,0.0399,1,143.011,4,https://api.spotify.com/v1/tracks/0G7qbWOi2Wq7vbw8GeMsMr,audio_features,spotify:track:0G7qbWOi2Wq7vbw8GeMsMr,0.653
0.0223,https://api.spotify.com/v1/audio-analysis/0qxG6fg83WKNyC976XwMXc,0.615,223054,0.647,0qxG6fg83WKNyC976XwMXc,0.000347,2,0.3,-9.345,1,0.365,1,80.004,4,https://api.spotify.com/v1/tracks/0qxG6fg83WKNyC976XwMXc,audio_features,spotify:track:0qxG6fg83WKNyC976XwMXc,0.443
0.701,https://api.spotify.com/v1/audio-analysis/1uf5f99kLdlmUBEvVqrFyy,0.676,170611,0.5,1uf5f99kLdlmUBEvVqrFyy,0.0,8,0.596,-6.878,1,0.0412,1,97.863,4,https://api.spotify.com/v1/tracks/1uf5f99kLdlmUBEvVqrFyy,audio_features,spotify:track:1uf5f99kLdlmUBEvVqrFyy,0.915
0.163,https://api.spotify.com/v1/audio-analysis/32zHrpXLkwgh4ZHwJZ6fOS,0.877,213947,0.658,32zHrpXLkwgh4ZHwJZ6fOS,0.0,11,0.108,-6.055,0,0.132,1,123.999,4,https://api.spotify.com/v1/tracks/32zHrpXLkwgh4ZHwJZ6fOS,audio_features,spotify:track:32zHrpXLkwgh4ZHwJZ6fOS,0.693
0.498,https://api.spotify.com/v1/audio-analysis/6gpcs5eMhJwax4mIfKDYQk,0.736,230813,0.795,6gpcs5eMhJwax4mIfKDYQk,1.21e-06,1,0.254,-3.299,0,0.0545,1,104.066,4,https://api.spotify.com/v1/tracks/6gpcs5eMhJwax4mIfKDYQk,audio_features,spotify:track:6gpcs5eMhJwax4mIfKDYQk,0.511
0.0549,https://api.spotify.com/v1/audio-analysis/2ozvhp8Y6DHjLalCvu0LYi,0.656,292000,0.877,2ozvhp8Y6DHjLalCvu0LYi,0.558,2,0.0804,-3.089,0,0.0414,1,119.996,4,https://api.spotify.com/v1/tracks/2ozvhp8Y6DHjLalCvu0LYi,audio_features,spotify:track:2ozvhp8Y6DHjLalCvu0LYi,0.346
0.4,https://api.spotify.com/v1/audio-analysis/2Ep2Fw5RQtW4VfjVYR4c4z,0.726,240626,0.841,2Ep2Fw5RQtW4VfjVYR4c4z,0.00081,1,0.194,-4.751,1,0.0678,1,109.961,4,https://api.spotify.com/v1/tracks/2Ep2Fw5RQtW4VfjVYR4c4z,audio_features,spotify:track:2Ep2Fw5RQtW4VfjVYR4c4z,0.403
